지역,매장명,현황,번호
충남 천안시 동남구,순천향대학교 천안병원 외래센터점,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 순천향대학교천안병원) 외래센터 2층",.
충남 천안시 동남구,순천향대학교 천안병원 본관점,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 순천향대학교천안병원) 본관 1층",.
충남 공주시,(천)이인휴게소점,충청남도 공주시 이인면 논산천안고속도로 32 (이인상행휴게소) .,.
충남 공주시,(논)탄천휴게소2호점,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .,.
서울 강남구,강남우리라운지점,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 1층,02-566-1002
경기 수원시,수원영통점,경기도 수원시 영통구 청명남로 10 영통동 1000-1,031-202-3356
경기 고양시 덕양구,원흥역점,경기 고양시 덕양구 권율대로 690 201동 108호~111호,031.967.0302
서울 용산구,이태원역점,서울특별시 용산구 이태원로 180 2층~3층,02-749-8752
서울 양천구,오목교역점,"서울특별시 양천구 오목로 344 (목동, 청학빌딩) 1층",02-2062-8405
대구 서구,롯데시네마프리미엄만경관점,대구 중구 국채보상로 547 MMC 만경관 4층 .,070-7717-2192
전남 순천시,순천신대점,전라남도 순천시 해룡면 향매로 67 신대리 1978,061-723-5185
서울 금천구,시흥사거리점,서울특별시 금천구 시흥대로 225 시흥동 994-9,02-804-9226
전북 전주시 완산구,전주효천점,"전라북도 전주시 완산구 쑥고개로 351, 1층 101호~102호 효자동2가 1326-4",063-224-5777
제주 제주시,제주도두해안DT점,제주특별자치도 제주시 도두일동 1686 .,064-745-7301
부산 북구,부산화명점,"부산광역시 북구 금곡대로285번길 13 (화명동, 스포렉스) 스포렉스 106호,107호,108호",070-8884-1101
서울 서초구,방배역점,"서울특별시 서초구 방배로 107 (방배동, 디엠타워3관) 1층",02-523-4180
경기 고양시 덕양구,고양향동점,"경기도 고양시 덕양구 향기3로 9, 101호 (향동동) 향동동 536",02-3158-0031
광주 북구,광주북구청점,광주광역시 북구 서방로 2 (중흥동) .,062-511-8002
전북 전주시 완산구,전주한옥마을점,전라북도 전주시 완산구 은행로 16 (풍남동 1가 53-3) .,063-288-0801
강원 홍천군,(상)홍천휴게소R점,강원도 홍천군 화촌면 서울양양고속도로 83 .,010-4668-2505
부산 부산진구,부산시민공원점,"부산 부산진구 시민공원로 73, 푸드코트피크닉 범전동 200",.
충남 홍성군,충남도청점,충청남도 홍성군 홍북읍 신경리 553 .,041-631-4725
경기 고양시 일산동구,성남모란역점,"경기도 성남시 중원구 성남대로1148번길 8 1층, 성남동 3453",031-758-5953
서울 강남구,강남역2점,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",02-568-9056
서울 용산구,숙대입구점,서울특별시 용산구 청파로 276 (청파동2가) 2층~3층 할리스 ,02-704-9636
경남 김해시,김해복음병원점,경상남도 김해시 활천로 44 (삼정동) 할리스 김해복음병원점,055-723-2053
서울 서대문구,홍제천점,"서울특별시 서대문구 홍제내길 52,1~2층 홍제동 361-49",02-396-0903
경기 고양시 일산동구,롯데시네마라페스타점,"경기도 고양시 일산동구 무궁화로 32-34 (장항동, 라페스타C) 3층",070-7733-0384
부산 기장군,부산일광신도시점,부산광역시 기장군 일광읍 해빛6로 43-20 삼성리 840-12,.
